"['orgTags_CATEGORIES' ]"                   counts
"['Marketing, Advertising and PR']"     3467
"['Manufacturing and Mechanical']"      3226
"['Sales and Procurement']"     3219
"['Legal']"     2711
"['Finance']"   2321
"['Transportation']"    2132
"['Construction']"      1876
"['Retail']"    1641
"['Assistants']"        1587
"['Security, Military and Government']"   1574
"['Human Resources']"   1517
"['Banking and Insurance']"     1401
"['Service']"   1332
"['Management']"        1329
"['Engineering']"       1292
"['Accounting and Auditing']"     1277
"['Healthcare']"          1276
"['Sales & Marketing']"   1212
"['Education']"   1135
"['Administration']"    1118
"['Logistics and Warehouse']"     1113
"['Developers']"        1096
"['Agriculture and agribusiness']"      1094
"['Secretarial, Clerical and Administrative Assistant']"        957
"['Real Estate']"       949
"['Business Specialists']"      948
"['Journalism, Publishing and Printing']"       855
"['Customer Service']"    847
"['Architecture']"      830
"['Internet']"    829
"['Salon/Spa/Fitness']"   816
"['Information Technology and Computer']"       808
"['Design and Creativity']"     791
"['Middle Management']"   786
"['Hotels, Hospitality and Tourism']"   758
"['Social Services']"     702
"['Food & Restaurant']"   643
"['Culture, Music and Entertainment']"    643
"['Warehouse & Production']"    642
"['Installation & Repair']"     535
"['Maintenance & Janitorial']"    528
"['Technology']"        526
"['Medicine and Pharmaceutical']"       507
"['Upper, Senior management and C Level']"      479
"['Consultancy']"       454
"['Wellness']"    441
"['Telecommunication']"   432
"['Computers & Technology']"    400
"['Science']"   395
"['Administrative']"    364
"['Beauty, Fitness and Sports']"        337
"['Accounting/Finance']"        325
"['Consulting']"        319
"['Accounting']"        310
"['Work at Home']"      307
"['Accounting & Finance']"      302
"['Medical']"   288
"['Other']"     266
"['Law Enforcement & Security']"        235
"['Training, Instructors and Translators']"     230
"['Information Technology']"    227
"['Restaurant']"        196
"['Personal Care & Services']"  192
"['Bauingenieurwesen']"   191
"['Nursing']"   183
"['Hotel & Hospitality']"       177
"['Healthcare Technology']"     165
"['Animal Care']"       162
"['Production']"        161
"['Automotive']"        147
"['Sales']"     138
"['Protective Services']"       134
"['Administrative', 'Administration']"  116
"['Arts', 'Acting']"      114
"['Healthcare', 'RN']"    102
"['Healthcare Support']"        101
"['Life Science']"      88
"['Healthcare Service']"        83
"['Arts', 'Fashion Industry']"    81
"['Operations']"        80
"['Accounting', 'Accountant']"  79
"['Physical Science']"  77
"['Travel', 'Tourism']"  75
"['Media']"     75
"['Healthcare', 'Medical Centre']"      75
"['Volunteering', 'Charity']"   73
"['Facilities', 'Air Conditioning']"    71
"['Social Service']"    70
"['Farming']"   66
"['Agriculture', 'Environmental Advisor']"      64
"['Food Service']"      63
"['Research']"    62
"['Administrative', 'Admin']"   62
"['Maintenance']"       60
"['Business Development']"      60
"['Security', 'Collection Officer']"    59
"['Pharmaceutical', 'Pharmacist']"      57
"['Marketing', 'Advertising']"  57
"['Administration & Office Support']"   57
"['Entrepreneurship']"  55
"['Media and Communications']"  54
"['Healthcare', 'Sonographer']"   53
"['Healthcare', 'Mental Health']"       53
"['Logistics', 'Pick Pack']"    52
"['Construction', 'Form Work']"   51
"['Retail', 'Cashier']"   50
"['Publishing', 'Document Controller']"   50
"['Manufacturing', 'Boilermaker Welder']"       50
