name,salary,careerLevel,workType,department,country,state,company,yearsOfExperince,html,websites,skills
Account Manager,,NOT FOUND,other,NOT FOUND,US,CA,Alera Group,NOT FOUND,"<p>At Legacy Risk, an Alera Group Company, our business continues to grow and we are seeking to add an experienced Account Manager to join our Commercial Lines, the brokerage team. </p> <p>Legacy Risk &amp; Insurance Services, located in Walnut Creek, CA, is an insurance brokerage company offering risk management and commercial property/casualty insurance services to middle-market commercial clients in the western U.S. We specialize in insurance programs for a variety of industries including construction &amp; development, food &amp; beverage, life sciences &amp; technology, manufacturing, real estate &amp; property management, service, solar/renewable energy, and wholesale &amp; retailers. Through our Private Client Services, we also provide specialized personal insurance solutions to affluent individuals and families. </p> <p>We value individual contributions, superior customer service, high-performance standards, and a collaborative work style. </p> <p>We provide a great team environment and an opportunity for personal and professional growth. As a result, Legacy was honored with a <strong>1st place ranking for</strong> <strong>2018 Bay Area Best Places to Work</strong> by the San Francisco Business Times! </p> <p>Our highly skilled Account Managers build strong professional relationships with Legacy Risk clients that result in a high level of business retention. These relationships are built on a solid foundation of trust and confidence in our knowledge and expertise. You will assist producers with both new and renewal business, successfully providing technical advice to handle coverage issues and needs, and conduct exposure analysis for our clients. We are interested in finding a person who shares our values and dedication to customer service.</p><ul><li>The successful candidate must have exceptional depth and breadth of experience working primarily with medium to large size commercial accounts and possess a minimum of five to seven years of insurance agency experience in an account management role. </li><li>Experience managing commercial real estate accounts is preferred. </li><li>A demonstrated ability to understand policies, coverages, forms, accounting methods, ratings, and claims procedures and have an excellent rapport with both the underwriters and insureds is essential. </li></ul><br /><ul><li>This position requires a Bachelors degree, professional certification, or equivalent training and education </li><li>Minimum 3year(s) of work experience in Property &amp; Casualty and customer service. </li><li>Exceptional written and verbal communication skills are required. </li><li>Applied (EPIC) agency system experience is highly desirable. </li><li>Must be proficient in Microsoft Office including, Word, Excel, and Outlook. </li><li>Proven ability to meet deadlines and possess strong analytical and organizational skills. </li><li>A California insurance license is essential. </li><li>Professional designations such as CIC, CISR, CPCU, ARM, or CRM are preferred. </li></ul><p><em>We're an <strong>equal opportunity employer</strong>. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.</em> </p> If you're a California resident, please read theCalifornia Consumer Privacy Actprior to applying. #pandoIQ PandoLogic. Keywords: Insurance Account Manager, Location: Walnut Creek, CA - 94596 , PL: 567204978<p>by Jobble</p>",aarp_us,"['offering risk management', 'including construction', 'assist producers', 'handle coverage issues', 'conduct exposure analysis', 'demonstrated ability', 'understand policies', 'Proven ability', 'meet deadlines']"
"Music Teacher, Band Director",,NOT FOUND,other,NOT FOUND,US,IL,Music and Arts,5,"DescriptionWe are looking for music educators to join our Music Education Services department for teaching positions! This role will provide music instruction at local schools. Ideal educators will have a passion for teaching music and a high level of energy. Interviewing now for Fall 23 School Year!Essential Functions (not all-inclusive):Teach music classes in schools both in group settings and in one-on-one settings based on contracts with each school. Class sizes vary from a few students to over 50 kids.Use recruiting tools, set up instrument testing events, recruitment nights, and other programs to entice kids at a school to join the band/orchestra program. This may require on-site activities after school hours.Prepare lesson plans, curriculum and benchmarking for all students, report on the progress of students against those benchmarks via progress reports and report cards. Benchmarks for each instrument and experience level will be provided.Maintain quality relationships with school administration and principals to secure schedules for classes, notify schools of changes to classes or schedules, and notify the office if students are not attending or have other issues in class.Coordinate concerts, solo &amp; ensemble activities, and other events and performances to engage with students and parents.Work with retail store and education representatives to make sure students have the instrument and supplies necessary to be successful in class.Teach summer lessons and continuing education activity to students that wish to continue over the summer.Additional duties as assigned.About Music &amp; ArtsMusic &amp; Arts embodies the world of creativity and music by encouraging our teammates to find their own individual sound. We strive to create lifelong musicians and make a difference in the world by enabling musicians and non-musicians alike to experience the almost indescribable happiness that comes from playing an instrument. We believe in putting our customers first, engaging with respect and integrity and fulfilling our mission with passion.The first Music &amp; Arts was located in a small house in Bethesda, MD and run by founder Benjamin O'Brien. When Music &amp; Arts opened its doors in 1952, we offered printed music, music lessons, dance lessons, and art supplies. Ben decided shortly after opening his business that he wanted to focus on music to better serve his customers -- a decision that remains intact to this day.Since the 1990's, Music &amp; Arts has expanded nationwide through organic growth and a series of acquisitions and mergers with other music dealers. In 2005, Music &amp; Arts joined forces with American Music to become the largest band and orchestra instrument retailer in the United States. Based in Frederick, MD, Music &amp; Arts is now part of the Guitar Center enterprise and comprises 225+ retail stores, 200+ educational representatives, and 250+ affiliate locations.To join our band, you'll need the following experience:Bachelor's Degree is required in Music Education3-5 years of music teacher experience (new grads may be considered with required completion of internal training and mentoring programs)State Teaching license requiredValid state driver's license and automotive insuranceLove this gig and want to apply?Send your resume and cover letter today along with salary expectations!Music &amp; Arts is an Equal Opportunity Employer and provides fair and equal employment opportunity to all employees and applicants regardless of race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, veteran status or any other protected status prohibited under Federal, State, or local laws. All employment decisions are based on valid job related requirements.If you are a qualified individual with a disability or a disabled veteran and are unable or limited in your ability to use or access our website, you may request a reasonable accommodation to express interest in a specific opening. You can request reasonable accommodation by calling 1 818-###-#### ext. 2862 or by sending an email to ...@guitarcenter.com.<br />",aarp_us,"['teaching positions', 'provide music instruction', 'teaching music', 'Use recruiting tools', 'entice kids', 'Prepare lesson plans', 'Maintain quality relationships', 'secure schedules', 'notify schools', 'Teach summer lessons', 'continuing education activity', 'enabling musicians', 'joined forces', 'required completion', 'Teaching license', 'cover letter today', 'protected status', 'related requirements', 'express interest']"
Floral Clerk FT Chapel Hill NC,,NOT FOUND,other,NOT FOUND,US,NC,Alex Lee,NOT FOUND,"To provide excellent guest service by performing the duties related to the floral department.1. Provides polite, friendly greetings and interactions with all guests.2. Receives floral product and ensures product quality, freshness, sale ability and accuracy of delivery invoices.3. Conditions product and merchandises for sale.4. Maintains high quality product on sales floor.5. Ensures accurate retails and achieves department gross profit targets.6. Maintains a selling atmosphere conducive to impulse and eye appeal purchasing.7. Communicate guest requests to management.8. Communicate temperature breakdowns to management.9. Performs duties in the produce department as well as throughout the store as assigned by management.10. Performs all other duties as assigned by management.1. Friendly, outgoing personality.2. Ability to work well with others.3. Ability to 15 lbs.4. Ability to read and understand information and direction.5. Effective communication and guest service skills.6. Ability to bend, kneel and stand for extended periods of time.#LI-KG1<br />",aarp_us,"['ensures product quality', 'achieves department', 'selling atmosphere', 'Communicate temperature breakdowns', 'Performs duties', 'understand information']"
Audio and Video Transcription - Flexible Schedules (Lansing),,NOT FOUND,other,NOT FOUND,US,IL,Appen,NOT FOUND,"<strong>What exactly is a search engine evaluation job?</strong><br />Search engine evaluation is the process of making informed decisions about websites, webpages, music videos, songs, images, maps and other data and rating them for accuracy, completeness and other factors.<br /><br /><strong>No experience necessary, all you need is:</strong><ul><li>A smart phone and a personal computer</li><li>You will be asked to download an app on your smartphone to complete work</li><li>Commitment of at least 10hrs per week (set on your schedule)</li></ul><br /><strong>What to expect when you register:</strong><ul><li>Create an Appen Account</li><li>Complete your profile and project registration [5 min]</li><li>Study the provided guidelines [at your own pace]</li><li>Pass a 3-part exam [1-2 hrs]</li></ul>",aarp_us,['provided guidelines']
Sticker Production Assistant,,NOT FOUND,other,NOT FOUND,US,IL,MakeStickers,2,"We are a high-quality printing company operating MakeStickers.com and Posternerd.com, delivering thousands of labels, stickers, and posters each day. <br /> We're hiring part-time Sticker Production Assistants to finish sticker and label orders at our Tinley Park, IL production facility. Our production assistants give the final stamp of approval to our customer's orders, so having pride in your work is a must!<br /><br /><b>Details</b><br /><br />This position is $16.31 an hour, part-time (26/hrs a week)<br />Schedule: 10:00 am -5:00 pm Tuesday through Friday with a 30-minute unpaid break.<br /><br />This is an in-person position, so you must have reliable transportation <br /><br /><b>Responsibilities</b><br /><ul><li>fulfill customers' orders with care and accuracy</li><li>perform quality control inspections and promptly report any defects</li><li>maintain an organized workflow and workstation</li><li>be able to adjust your speed during busy seasons</li><li>maintain accuracy and speed throughout your shift </li><li>adhere to safety measurements at the production facility</li><li>shrink wrap and prepare orders in an orderly fashion for shipping</li><li>thrive in a team environment and be an amazing team player</li></ul><br />We offer cross-training in other areas of production that lead to pay increases and full-time eligibility as soon as one year, if and when available. <br /><br /><strong>Requirements</strong><br /><ul><li>Duties require frequent standing, sitting, and walking</li><li>Fine motor skills like grasping and gripping</li><li>Good written and verbal communication skills</li><li>Some math skills like counting, simple addition, subtraction, multiplication, and division</li><li>The ability to perform basic computer-based tasks</li><li>Operate heat-shrinking tools safely </li></ul><br /><b>About you</b><br /><ul><li>Have great verbal communication</li><li>Completed high school diploma and have at least 2 years of working experience </li><li>Have amazing attention to detail</li><li>Be a self-starter who will see what needs to get done and jump at it</li><li>Take direction and feedback </li><li>Be responsible and can own up to mistakes</li><li>Be dependable, honest, reliable, and an all-around good coworker and teammate </li><li>Align with our company values</li></ul><br /><b>Our company values</b><br /><ul><li><b>Do it before it needs to get done</b> - do your future self a favor and work ahead of the deadline. Things can unexpectedly happen! We want to be prepared for if they do. Are you a procrastinator? If so, this company might not be for you.</li><li><b>Empathize with the customer</b> - We value our customers and want to help where we can, so we've got top-notch reprint policies in place for the assist. Our customers return because we make it right. No matter the circumstance, we don't talk ill of any customers or designs.</li><li><b>Have a growth mindset</b> - The same empathy goes for our employees. Everyone makes mistakes, which makes great learning opportunities! Having a growth mindset is understanding we may not have the skill set yet, and that we can change, develop, learn and grow. Each employee is expected to have personal goals and we'll do whatever we can to help get them closer.</li><li><b>We succeed and fail as a team</b> - We remain side by side no matter the outcome. There is no ""they,"" only ""we."" We support one another through and through, whether we hit new records or hit a rough patch. We'll tackle the problems as a team and celebrate as one.</li></ul><br /><b>What we offer all of our employees</b><br /><ul><li>paid holidays</li><li>paid vacation and sick time</li><li>profit-sharing bonus</li><li>401k company contribution of 4%</li><li>stocked kitchen</li><li>company T-shirts and other swag</li><li>free stickers</li><li>charitable gift matching up to $250/yearly</li><li>department lunches and company events</li><li>Employee Assistance Program for employees and household family members</li></ul><br /><br /><br />Powered by JazzHR<br /><br /><br /><br />PI211892364<br /><br />",aarp_us,"['printing company', 'delivering thousands', 'finish sticker', 'having pride', 'perform quality control inspections', 'maintain accuracy', 'prepare orders', 'pay increases', 'Operate heat', 'shrinking tools', 'Take direction', 'makes mistakes', 'paid vacation']"
Specifications Writer,,NOT FOUND,other,NOT FOUND,US,TX,PBK Architects,0,"For over 40 years, PBK has been a leader in architectural and engineering design solutions across the United States. We pride ourselves in providing the best-in-class programmers, planners, architects, engineers, and consultants to offer top notch customer service. PBK has built a client base of more than 200 clients, including school districts, university systems, hospital systems, and Fortune 500 corporations. We offer our employees competitive wages, health care, and 401K matching along with numerous opportunities to become involved in extra-curricular activities and organizations established through the firm. PBK has established a culture that has led to the firm being named to the list of Best Places to Work. We strive to make a positive impact for future generations with our actions today. Here's your chance, are you ready to make a difference?<br /><br />We are seeking a highly motivated Specifications Writer to join our team in Houston, TX. In this role, you will provide key support in a high growth area of an award winning architectural, engineering and consulting firm. As a successful candidate, you are proactive, forward-thinking, and client-focused with a strong specification's mindset.<br /><br /><strong>Your Impact:</strong><br /><br /><ul><li><br /></li><li>Coordinate with Project Managers and Architects to edit Project Specifications<br /></li><li>Work with Architectural Team to coordinate Drawings, Keynotes, and Specifications<br /></li><li>Prepare Project Manual for issuance and maintain Current Set documents<br /></li><li>Assist Specifications Directors with maintenance of resources<br /></li><li>Oversee work of Assistant Specifications Writers and Specifications Coordinators<br /></li></ul><br /><br /><strong>Here's What You'll Need:</strong><br /><br /><ul><li><br /></li><li>Minimum 5 years of experience in Architecture and/or Specifications<br /></li><li>Knowledge of SpecLink Cloud or willingness to learn<br /></li><li>Familiarity with CSI MasterFormat<br /></li><li>Strong oral, written, and communication skills<br /></li><li>Excellent time-management and organizational skills<br /></li><li>Ability to self-assess and command a high level of accuracy<br /></li><li>Ability to research, learn, and synthesize information<br /></li></ul><br /><br /><strong>Here's How You'll Stand Out:</strong><br /><br /><ul><li><br /></li><li>You are a CSI Construction Documents Technologist (CDT)<br /></li><li>You have experience writing Architectural Specifications<br /></li><li>You have experience with SpecLink Cloud<br /></li><li>You have experience with MasterSpec<br /></li><li>You have experience with SpecsIntact<br /></li><li>You have experience with simple computer programming, formulas in Excel, or formal logic<br /></li></ul><br /><br />Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. PBK is an equal employment opportunity employer. It is our policy to provide equal employment opportunity in all phases of employment in compliance with applicable federal and state laws, rules, and regulations.<br /><br />#LI-SB1 #LI-Onsite #LI-Fulltime #LI-Associate #LI-Design<br /><br /><br /><br />PI212698510<br /><br />",aarp_us,"['including school districts', 'Oversee work', 'synthesize information', 'Stand Out:</strong><br', 'have experience', 'have experience', 'have experience', 'have experience', 'have experience', 'enable individuals']"
Social Media Evaluator - Dynamic Work Opportunity (Mc Kees Rocks),,NOT FOUND,other,NOT FOUND,US,PA,Appen,NOT FOUND,"<strong>Contributor</strong><p><span>A.I. jobs are a hot commodity!</span></p><p>Sign up for Appen to browse open opportunities and help train artificial intelligence, earn money on your own time, and make a large contribution to the development of speech tools</p><p>Appen was ranked #1 in 2020 by FlexJobs as a Top 100 Company with Remote Jobs. We are proud to offer jobs in line with our values of fair pay, inclusion, and well-being.</p><p><strong>What We Do:</strong></p><p>Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world's most innovative artificial intelligence systems.</p><p> </p><p><strong>How We Impact the World:</strong></p><p>Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally.</p><p> </p><p><strong>Why We Need You:</strong></p><p>We can't accomplish our mission without our global network of over 1 million skilled contributors who helps us curate reliable training data to help improve AI technology around the world. Every day, our contributors are working on various projects from translation services to transcribing audio clips to categorizing social media posts, all from the comfort of their own homes.</p><p>We need people like you to join our network of contributors and help us make a difference in improving AI technology. We provide you with flexible opportunities to work from home and cater to your schedule. Our projects consist of simple tasks that, added up, make a big difference. Earn money by completing the tasks that you want to do. All you need is a computer or smart device and an internet connection.</p><p><strong>Requirements: </strong></p><p>Appen contributors conduct in depth internet-based research and provide information evaluation for leading companies from around the globe.</p><p> Ideal candidates are:</p><ul><li>Self-reliant</li><li>Self-motivated</li><li>Are very internet savvy</li><li>Have a broad range of interests</li><li>Enjoy online research and evaluation</li></ul><p>There are many types of projects out there that you can pick from once you join our network</p><p>Here are examples of some of the opportunities that may be available:</p><ul><li>Search and Social Media Evaluation-Translation Services-Transcription Services-Survey and Data Collection (Short projects that last from 15 minutes to 3 hours)</li><li>Linguistic Specialties (Text to Speech, Computational, Phonetics, Pronunciation, Annotation, etc.)</li><li>Lexicon Annotation-Speech Evaluation-Image Annotation and/or Transcription-Video Annotation-Sensor Data Annotation i.e., LiDAR, Radar, etc.</li></ul><p> </p>",aarp_us,"['earn money', 'offer jobs', 'gives leaders', 'deploy world', 'has customers', 'need people', 'Earn money', 'based research', 'provide information evaluation', 'leading companies']"
Photo Color Correction Specialist,,NOT FOUND,other,NOT FOUND,US,GA,Surya Carpet,5,"IMAGE COLOR CORRECTION SPECIALIST<br />Position Overview<br />Surya is seeking a highly skilled Image Color Correction Specialist with a focus on RAW image processing and color correction. The primary responsibility of this role is to process raw images and color correct product images taken from multiple cameras under different lighting setups and produce color-accurate images for distribution. The ideal candidate must be skilled in using software tools such as Photoshop, Lightroom, and Capture One. This role demands fast-paced attention to detail, effective communication, and collaboration with cross-functional teams.<br />Responsibilities<br /> Process raw images and color correct product images to produce color-accurate images for distribution<br /> Work with a team of photographers, designers, and content creators to ensure high-quality visuals<br /> Collaborate with project managers to understand project requirements and timelines<br /> Maintain a consistent workflow to ensure timely delivery of high-quality work<br /> Continuously monitor and adjust color calibration settings to ensure consistency in color accuracy across all images<br /> Maintain the highest standards of image quality, consistency, and accuracy<br /> Stay up to date with industry trends, techniques, and best practices in image processing and color correction<br /> Participate in cross-functional meetings and provide expert guidance and support to the team<br />Requirements<br /> 3-5 years of professional experience in image processing and color correction<br /> Strong knowledge of RAW image processing and color correction techniques<br /> Proficient in software tools such as Photoshop, Lightroom, and Capture One<br /> Excellent communication skills with the ability to work collaboratively with cross-functional teams<br /> Strong attention to detail and ability to maintain consistency in color accuracy<br /> Ability to work independently and manage multiple projects simultaneously<br /> Flexibility to work under tight deadlines and adapt to changing priorities<br />PI213921619<br />",aarp_us,"['produce color', 'using software tools', 'paced attention', 'produce color', 'understand project requirements', 'adjust color calibration settings', 'ensure consistency', 'provide expert guidance', 'maintain consistency', 'changing priorities']"
Service Writer,,NOT FOUND,other,NOT FOUND,US,MN,Albany Chrysler Center,NOT FOUND,"<p><strong>Service Writer</strong></p><p>We are looking for a full-time service writer to join our service team!<br /><br />The position is 40+ hours a week.<br />Your responsibilities will be scheduling appointments, checking in and out customers. cashiering, opening and closing repair orders, dispatching to technicians, working side by side with technicians, creating quotes, and more!<br /><br />The position includes full time benefits such as 401k, Health Savings Accounts, and Paid Vacation.<br />We have hourly pay, plus overtime plus weekly bonuses.<br /><br />No experience necessary! If you are looking to work for a family owned company, look no further! Albany Chrysler Center is family owned and operated. You will be treated like family and not a number.<br /><br />We are an Albany, MN Service Center &amp; Parts Department You Can Trust<br />With a certified Mopar service center and a well-stocked parts department, Albany Chrysler Center, Inc. is the place to go for all auto repair and car maintenance needs. At our Albany, MN service center, we provide genuine Mopar parts you can trust, state-of-the-art auto repair technology, and a crew of highly skilled auto mechanics.</p><br /><span>recblid 0in51pun1jyc39q6jp5ecf7vkmo3fx</span><br /><br />",aarp_us,"['working side', 'creating quotes', 'owned company', 'stocked parts department']"
UAF CLA Term Instructor of Piano,,NOT FOUND,other,NOT FOUND,US,AK,University of Alaska,NOT FOUND,"<p>UAF CLA Term Instructor of Piano</p><p>Apply now (</p><ul><li><p>Job Number: 523902</p></li><li><p>Classification:Term Instructor</p></li><li><p>Grade:UNAC Grade 40</p></li><li><p>Work type: Faculty Full-time, On Campus</p></li><li><p>Administrative Unit:University of Alaska Fairbanks</p></li><li><p>School/Business unit:UAF College of Liberal Arts</p></li><li><p>Location: Fairbanks</p></li><li><p>Categories: Education/Instructional</p></li></ul><p>Position Summary:The Department of Music at the University of Alaska Fairbanks is seeking a qualified applicant for the position of Collaborative pianist. The successful candidate will work closely with all of the music faculty and students in the department in bringing the highest level of performance to all of the performances in the Music Department.</p><p>Duties:</p><p>43.33 Teaching Teach the following classes: Class Lessons - Piano, Functional Piano, Chamber Music Piano Accompanying as needed, Period history courses as needed to assist the needs of the Department; Vocal Coaching based on experience. Essential</p><p>56.67 Service Service to the College of Liberal Arts, UAF, the community, to include community outreach. Service to the Music Department including but not limited to accompanying students at their private lessons with their private teacher on their degree recitals, Music at One performances, Studio Class Recitals, Studio master classes, Opera workshop, and rehearsals with the students in preparation for their lessons and performances, accompanying Choir of the North, performing at faculty recitals, faculty Chamber Music concerts, other performances as a keyboardist with the Fairbanks Symphony Orchestra and other department ensembles as requested/as time allows, and serving on departmental committees as needed. Essential</p><p>The Collaborative Pianist acts as the primary coach and accompanist for the Music Departments undergraduate and graduate programs. In addition this faculty instructor will oversee the Class Piano and Functional Piano classes in the Music program. The collaborative pianist is a full-time position.</p><p>Knowledge, Skills, Abilities:</p><p>Ability to teach Functional Piano and Class Piano courses. Extensive knowledge of Lieder literature as well as opera literature; extensive knowledge of Chamber music as well as Solo and Concerto literature for string, wind, and brass instruments. Must have excellent piano performance skills, sight-reading skills and ability to learn and perform literature on very short notice. Strong interpersonal and communication skills. Experience working with private and public external constituencies. Ability to advocate for the university.</p><p>Typical Experience:</p><p>Experience accompanying and coaching vocal and instrumental literature. Experience with vocal coaching and diction if the candidate is fluent in other languages. Exceptional piano skills, including outstanding sight-reading skills. Vocal and instrumental coaching experience in classical literature. Experience with accompanying choral groups would be an asset. Experience performing chamber music. Experience coaching small mixed ensembles. Experience playing orchestra reductions for opera. Experience performing music literature written in idioms beyond the common practice period. Experience teaching students of different abilities at the college level.</p><p>Required Education or Training:</p><p>Masters of Music in Piano Performance or Collaborative Arts or commensurate professional experience required. DMA in Piano performance or Collaborative Arts preferred.</p><p>Record of piano accompanist and chamber music experience. Some college-level teaching experience.</p><p>Salary Information:</p><p>This is a full-time, 9-month, faculty position complete with both a competitive salary andfull employee benefits package ( .</p><p>Special Instructions to Applicants:</p><p>Please submit:</p><ul><li><p>Cover Letter Curriculum Vitae</p></li><li><p>Graduate Transcripts (may be unofficial)</p></li><li><p>Philosophy of teaching and mentoring (two pages)</p></li><li><p>Teaching syllabi or other teaching materials</p></li><li><p>Names of three professional references with phone and email contact information</p></li><li><p>Links to video performances with singers, instrumentalists, chamber music, and if available, solo.</p></li><li><p>Repertoire list of operas, lieder, and instrumental/chamber works performed.</p></li></ul><p>To ensure consideration, please apply prior to 11:55 PM Alaska Standard Time Sunday, March 19, 2023. An initial review will begin March 20, 2023. The position will remain open until filled.</p><p>To be eligible for this position, applicants must be legally authorized for unrestricted employment in the United States. No work visas will be sponsored for this position.</p><p>At this time, all university employees are strongly encouraged to vaccinate themselves against the COVID-19 virus. While the federal government is not actively enforcing its COVID-19 vaccine mandates, including its mandate requiring vaccination of federal contractor employees, UAF remains contractually obligated as a federal contractor to comply with those requirements should federal enforcement efforts recommence. As a result, UAF may adjust its vaccination requirements for covered UAF employees (currently Troth Yeddha campus and employees working in connection with certain federal contracts) at any time in the future, as needed, in order to comply with its contractual obligations.</p><p>This position is represented by United Academics (UNAC).</p><p>This position is term-funded and is reviewed annually for contract renewal at the University's discretion.</p><p>The University of Alaska (UA) is responsible for providing reasonable accommodations to individuals with disabilities throughout the applicant screening process. If you need assistance in completing this application or during any phase of the interview process, please contact UA Human Resources by phone at 907-###-####.</p><p>UA is an AA/EO employer and educational institution and prohibits illegal discrimination against any individual:www.alaska.edu/nondiscrimination</p><p>The successful applicant is required to complete a background check. Any offer of employment is contingent on the background check.</p><p>Your application for employment with the University of Alaska is subject to public disclosure under the Alaska Public Records Act.</p><p>If you have any questions regarding this position, please contact Ellen Cruse, CLA HR Coordinator, at ...@alaska.edu or 907-###-####.</p><p>Advertised: 16 Feb 2023 Alaskan Standard Time</p><p>Applications close:</p><p>by Jobble</p><br />",aarp_us,"['following classes', 'include community outreach', 'accompanying students', 'reading skills', 'perform literature', 'performing chamber music', 'performing music literature', 'teaching students', 'Teaching syllabi', 'ensure consideration', 'requiring vaccination', 'need assistance']"
